game,ply,black,white,empty,rho,disc_diff,a1_minus_energy,b1_energy,b2_energy,d4_a1_occupation_energy,n_legal_moves,max_flip_count,mean_flip_count
28,58,34,28,2,0.96875,6,2.875,1.625,6.875,60.37500000000001,0,0,0.0
28,59,34,28,2,0.96875,6,2.875,1.625,6.875,60.37500000000001,2,5,4.0
28,60,31,32,1,0.984375,-1,1.7500000000000002,3.5,7.75,62.24999999999999,0,0,0.0
28,61,31,32,1,0.984375,-1,1.7500000000000002,3.5,7.75,62.24999999999999,1,2,2.0
28,62,29,35,0,1.0,-6,2.0000000000000004,3.0,8.0,64.0,0,0,0.0
29,0,2,2,60,0.0625,0,0.0,0.0,4.0,4.0,4,1,1.0
29,1,4,1,59,0.078125,3,1.1249999999999998,0.125,1.125,4.125000000000001,3,1,1.0
29,2,3,3,58,0.09375,0,0.0,0.5,0.5,4.499999999999999,5,1,1.0
29,3,5,2,57,0.109375,3,1.1249999999999998,1.125,2.125,5.125000000000001,5,2,1.2
29,4,4,4,56,0.125,0,0.0,2.0,0.5,5.999999999999999,7,1,1.0
29,5,6,3,55,0.140625,3,1.1249999999999998,3.125,1.125,7.125,6,2,1.5
29,6,4,6,54,0.15625,-2,1.0,2.0,1.5,8.5,8,3,1.625
29,7,7,4,53,0.171875,3,0.7499999999999999,4.5,4.25,8.75,8,3,1.625
29,8,6,6,52,0.1875,0,1.375,6.125,1.375,10.375000000000002,8,3,1.75
29,9,9,4,51,0.203125,5,5.125000000000001,1.125,1.125,11.125,14,2,1.1428571428571428
29,10,8,6,50,0.21875,2,3.2499999999999996,0.25,1.25,11.250000000000002,8,3,1.875
29,11,11,4,49,0.234375,7,4.125000000000001,0.125,1.125,13.124999999999998,11,3,2.0
29,12,9,7,48,0.25,2,0.875,0.625,4.875,14.375,8,3,2.125
29,13,12,5,47,0.265625,7,3.5,0.25,3.5,14.500000000000002,12,3,2.0
29,14,10,8,46,0.28125,2,1.375,1.125,0.875,14.875,8,4,2.5
29,15,12,7,45,0.296875,5,3.2499999999999996,0.5,2.75,15.249999999999998,12,3,1.9166666666666667
29,16,10,10,44,0.3125,0,2.5000000000000004,1.0,2.0,17.0,9,4,2.4444444444444446
29,17,14,7,43,0.328125,7,3.6250000000000004,1.125,3.625,17.625,11,4,2.272727272727273
29,18,12,10,42,0.34375,2,2.75,1.75,2.75,18.249999999999996,14,6,1.8571428571428572
29,19,16,7,41,0.359375,9,7.375,0.375,4.375,18.375000000000004,12,5,2.6666666666666665
29,20,13,11,40,0.375,2,1.7500000000000002,0.75,2.25,19.250000000000004,15,5,2.0
29,21,16,9,39,0.390625,7,1.6249999999999998,1.125,2.625,19.624999999999996,14,4,2.2142857142857144
29,22,15,11,38,0.40625,4,0.7499999999999999,0.75,1.25,20.25,12,5,2.0833333333333335
29,23,17,10,37,0.421875,7,2.3749999999999996,0.375,2.375,21.375,14,5,2.642857142857143
29,24,13,15,36,0.4375,-2,0.5000000000000001,1.5,1.5,21.5,10,5,2.3
29,25,16,13,35,0.453125,3,2.125,2.125,3.125,21.625,14,5,2.5
29,26,15,15,34,0.46875,0,3.5,2.0,2.0,22.0,12,6,2.5
29,27,17,14,33,0.484375,3,3.375,2.375,2.875,22.375000000000004,11,5,2.727272727272727
29,28,14,18,32,0.5,-4,5.749999999999999,4.25,6.75,23.749999999999996,13,6,3.0
29,29,17,16,31,0.515625,1,6.125,2.625,3.625,24.625,12,4,2.4166666666666665
29,30,16,18,30,0.53125,-2,4.750000000000001,4.25,2.75,25.75,15,6,2.7333333333333334
29,31,19,16,29,0.546875,3,3.875,2.875,2.375,26.375000000000004,12,4,2.5
29,32,17,19,28,0.5625,-2,5.25,4.25,4.75,27.250000000000004,13,6,2.8461538461538463
29,33,20,17,27,0.578125,3,8.625,5.125,7.125,28.125000000000004,12,4,2.4166666666666665
29,34,18,20,26,0.59375,-2,11.75,4.75,5.75,29.749999999999996,12,7,3.3333333333333335
29,35,23,16,25,0.609375,7,7.375,3.875,6.375,30.875000000000004,13,4,2.3076923076923075
29,36,22,18,24,0.625,4,9.0,4.5,7.0,32.00000000000001,10,6,2.9
29,37,24,17,23,0.640625,7,7.875,7.875,6.375,33.37500000000001,12,4,2.4166666666666665
29,38,21,21,22,0.65625,0,13.5,9.0,3.5,35.0,9,8,3.888888888888889
29,39,24,19,21,0.671875,5,11.875,7.875,2.875,36.375,11,4,1.9090909090909092
29,40,23,21,20,0.6875,2,11.125,7.875,6.125,36.625,8,8,3.875
29,41,25,20,19,0.703125,5,10.5,7.25,5.5,38.5,9,6,2.888888888888889
29,42,21,25,18,0.71875,-4,10.375000000000002,10.625,1.875,39.87500000000001,8,8,4.25
29,43,28,19,17,0.734375,9,7.5,8.25,4.0,41.50000000000001,7,6,2.857142857142857
29,44,24,24,16,0.75,0,3.875,8.625,3.375,43.37500000000001,9,6,3.0
29,45,31,18,15,0.765625,13,8.000000000000002,2.25,5.5,44.0,6,6,3.3333333333333335
29,46,28,22,14,0.78125,6,8.125,4.875,2.125,45.625,10,7,3.6
29,47,34,17,13,0.796875,17,19.000000000000004,3.25,1.5,46.49999999999999,5,7,2.2
29,48,33,19,12,0.8125,14,19.250000000000004,3.25,1.75,46.75,8,7,3.5
29,49,36,17,11,0.828125,19,22.375000000000004,5.875,1.375,47.875,5,6,2.8
29,50,30,24,10,0.84375,6,10.125,6.875,1.125,48.625,7,5,3.0
29,51,34,21,9,0.859375,13,10.375000000000002,7.375,4.375,49.37500000000001,4,5,2.5
29,52,31,25,8,0.875,6,8.25,5.25,4.25,51.25,5,4,2.4
29,53,34,23,7,0.890625,11,13.124999999999998,2.125,5.625,52.625,4,5,2.25
29,54,33,25,6,0.90625,8,9.499999999999998,2.5,6.0,54.5,3,4,2.0
29,55,35,24,5,0.921875,11,8.75,2.5,10.25,55.75,4,6,2.75
29,56,29,31,4,0.9375,-2,16.0,2.5,4.5,57.0,3,4,2.0
29,57,34,27,3,0.953125,7,17.25,4.0,5.75,58.75,3,10,4.333333333333333
29,58,24,38,2,0.96875,-14,36.5,8.5,2.0,60.49999999999999,2,1,1.0
29,59,26,37,1,0.984375,-11,32.125,9.125,3.125,62.12499999999999,1,6,6.0
29,60,20,44,0,1.0,-24,45.5,4.5,3.5,64.0,0,0,0.0
30,0,2,2,60,0.0625,0,0.0,0.0,4.0,4.0,4,1,1.0
30,1,4,1,59,0.078125,3,1.1249999999999998,0.125,1.125,4.125000000000001,3,1,1.0
30,2,3,3,58,0.09375,0,0.0,0.5,0.5,4.499999999999999,5,1,1.0
30,3,5,2,57,0.109375,3,1.2500000000000002,0.5,1.75,4.750000000000001,4,2,1.25
30,4,4,4,56,0.125,0,0.37499999999999994,1.125,0.375,5.375,6,1,1.0
30,5,6,3,55,0.140625,3,1.2500000000000002,2.0,1.75,6.25,6,2,1.5
30,6,5,5,54,0.15625,0,0.37499999999999994,1.125,1.375,7.375,11,2,1.2727272727272727
30,7,8,3,53,0.171875,5,4.25,2.0,0.75,8.75,5,4,1.8
30,8,7,5,52,0.1875,2,4.375,2.125,0.875,8.875,11,2,1.0909090909090908
30,9,10,3,51,0.203125,7,4.750000000000001,1.0,2.25,9.249999999999998,6,4,2.1666666666666665
30,10,6,8,50,0.21875,-2,0.875,1.125,2.375,9.375,11,2,1.3636363636363635
30,11,9,6,49,0.234375,3,1.6249999999999998,1.125,2.125,10.125,10,3,1.8
30,12,7,9,48,0.25,-2,0.5000000000000001,2.5,2.0,10.5,14,3,1.6428571428571428
30,13,10,7,47,0.265625,3,4.625,1.625,1.625,12.125,11,3,1.5454545454545454
30,14,8,10,46,0.28125,-2,2.0000000000000004,1.0,3.0,14.0,14,4,1.7142857142857142
30,15,10,9,45,0.296875,1,1.6249999999999998,2.125,2.625,14.625000000000002,14,5,1.9285714285714286
30,16,9,11,44,0.3125,-2,2.9999999999999996,2.5,2.0,15.5,14,5,2.0
30,17,11,10,43,0.328125,1,1.6249999999999998,2.625,2.625,16.125,14,5,2.0714285714285716
