obf,edax_d20_score,edax_d20_depth_observed,edax_d20_best_move,parse_ok
------------------XX------XXX-----XOXO----O-OO---O---O---------- X;,23,20,d6,1
---------O--------OXXX----XOO------XOO------OOO----------------- X;,27,20,c5,1
------------------XXXO-----XXO----OOOO---OOO-------------------- X;,7,20,g4,1
------------------OX------OXX-----OXOO----O-OO----O--O---------- X;,13,20,b6,1
------------O-----OXOX----XXO------XOO------OOO----------------- X;,13,20,f2,1
------------------XXXOO----XXO----OOO----OOO-------------------- X;,12,20,f6,1
----------O-------OOXX----XXO------XOO------OOO----------------- X;,15,20,f4,1
-------------O----XOOO----XOXO----XOO------O------O------------- X;,12,20,c6,1
------------------XXXOO----XOO----OOO----OOO-------------------- X;,14,20,f5,1
-------------O----X-OO----XXXO---OOOO------O------O------------- X;,17,20,e2,1
-------------O----XXO-O----OXO----OXO----OOO-------------------- X;,19,20,c4,1
------------O----O-OOX----OXO------OOO------OOO----------------- X;,24,20,f2,1
---------O--------OXX-O----OXO----OXO----OOO-------------------- X;,38,20,c4,1
-------------------OOX----XXO-----XXXO----O-OOO----------------- X;,7,20,c3,1
------------------OXX------XX-----OXXO----OO-O----O--O---------- X;,7,20,g5,1
----------O-------OO-X----OOXO-----XO-----OOOO------------------ X;,11,20,e7,1
--------------------OX----XOX-----OXXO---OO-OOO----------------- X;,14,20,c3,1
-----------------O--OX----OXX-----XOXO----O-OOO----------------- X;,15,20,b4,1
--------------------OX----XXX----OOOOO----O-OOO----------------- X;,16,20,d6,1
------------------OXX------OX-----OXOO----OO-O----O---O--------- X;,35,20,c4,1
-------------O----OXOX----XOXX----OXO----O--O------------------- X;,7,20,f5,1
------------------XXXOO---XXXO-----OOO-----O--O----------------- X;,11,20,f6,1
------------O-----OXOX----XXOX----OXO----O--O------------------- X;,8,20,c2,1
-------------O----OXO-----OXX-----OXOO----OO------O------------- X;,18,20,b4,1
------------------XXXOO---XXXO-----OOOO----O-------------------- X;,10,20,f6,1
----------O-------XOXO----XXOX-----OOOO----O-------------------- X;,8,20,e6,1
------------O-----XXOO----XXOX-----OOOO----O-------------------- X;,12,20,d2,1
-----------O------XOOO----XOXO-----OOOO----O-------------------- X;,21,20,c2,1
------------------OOOOO---XXXO---OOOO-------O------------------- X;,23,20,d2,1
--------------O---OXXO----XXOX---OOOO-------O------------------- X;,33,20,f5,1
-----------------OO-OX----OXXX---OOOO-----X-O------------------- X;,10,20,d6,1
--------------------XX----OOXO-----XO-----XOOO----O--O---------- X;,12,20,d3,1
----------O-------OOXX-----OX-----OOOO----XO-------O------------ X;,11,20,c4,1
----------O-------OOXX-----XX-----OXOO----XO--------O----------- X;,14,20,d7,1
-----------------OO-OX----OXXX----OXO-----O-O-----O------------- X;,21,20,b4,1
