parent_obf,n_children,bytes,mean_lb,mean_ub,min_lb,max_ub,median_lb,median_ub,exact_count,exact_fraction,parse_errors,n_filtered_out
-------------------OX------OO----XXXXOX---X--OO------O---------- X;,238310,21927063,-62.83472787545634,-7.6687759640804,-64,64,-64,-4,238310,1.0,0,829
-------------------OX------OOOOO--XOOO-----OOO------------------ X;,1974480,177113863,5.16187857056035,63.979474089380496,-64,64,4,64,1974480,1.0,0,151
-------------------OX------XO-O---XOXOO---OOO-O----------------- X;,349973,31267721,7.9672489020581585,63.88292239687062,-64,64,4,64,349973,1.0,0,72
-------------------OX------XOO----XOXO----OOOOO----------------- X;,1579272,141579750,5.6325534803377755,63.97637139137527,-64,64,4,64,1579272,1.0,0,431
-------------------OX------XX-O---XOOOOO--OOO------------------- X;,905326,81309264,8.675948774253694,63.869801596331044,-64,64,4,64,905326,1.0,0,4447
-------------------OX------XXO----XOXO----OOOO-------O---------- X;,1740490,182121744,5.60341053381519,63.983027768042334,-64,64,4,64,1740490,1.0,0,293185
-------------------OX------XXX---XXXXO----OOO-----O------------- X;,3430355,316867583,-63.58743453665874,-6.645507534934431,-64,64,-64,-4,3430355,1.0,0,13426
-------------------OX-----OOOX---XXOX-X---OO-------O------------ X;,954623,88238687,-63.76602491245235,-5.334809657843986,-64,64,-64,-4,954623,1.0,0,5297
-------------------OX-----OXXX----XOXO----XOOO------------------ X;,3848742,356573938,-63.83593860019715,-4.712032658983117,-64,64,-64,-4,3848742,1.0,0,18379
-------------------OX-----XOO-----XOXXX---XOOO------------------ X;,1836378,169408420,-63.73954599761051,-5.017231746405152,-64,64,-64,-4,1836378,1.0,0,4709
-------------------OX-----XXXX----XOOO---XOOO------------------- X;,2933055,270636150,-63.62633977201246,-6.382423786802498,-64,64,-64,-4,2933055,1.0,0,13754
-------------------OX----OOXX----OXOO---O--OOO------------------ X;,414990,37109374,8.8600930142895,63.78777801874744,-64,64,4,64,414990,1.0,0,148
-------------------OX----OXXX----OXOO----O-OOO------------------ X;,347741,31189017,9.5533514886079,63.755806764229696,-64,64,4,64,347741,1.0,0,1155
-------------------OX----OXXX---OOOOO------OOO------------------ X;,252068,22531724,12.571679070726947,63.46600917212815,-64,64,4,64,252068,1.0,0,137
-------------------OX----X-XXX----XXXO----OOO-----O------------- X;,3003014,277167799,-63.61792252716771,-6.558737321903927,-64,64,-64,-4,3003014,1.0,0,11439
-------------------OX----XOOX----OOOXX----XOO------------------- X;,1237452,114630877,-63.101456864589494,-7.942788892013589,-64,64,-64,-4,1237452,1.0,0,11454
-------------------OX----XOOX---XXXOXX-----OO------------------- X;,336121,31078198,-62.030251010796704,-10.269944454526792,-64,64,-64,-4,336121,1.0,0,3354
-------------------OX----XOXX----XOOXX---XO-O------------------- X;,181579,16865612,-61.293068030994775,-11.945368131777354,-64,64,-64,-4,181579,1.0,0,2955
-------------------OX----XXXOXX---XOOO-----XO------------------- X;,527295,48456524,-63.53576650641482,-5.919365819892091,-64,64,-64,-4,527295,1.0,0,1082
-------------------OX----XXXXO----XOOX----XOO------------------- X;,1243699,114368688,-63.5742362098868,-5.213501015921055,-64,64,-64,-4,1243699,1.0,0,2979
-------------------OX-O----XXO----XOOO----OOO-O----------------- X;,690121,62170782,6.207091220235292,63.94629057802907,-64,64,4,64,690121,1.0,0,3882
-------------------OX-O----XXOO---XOOO----OOO------------------- X;,889539,79639406,6.620784473755507,63.92719374867207,-64,64,4,64,889539,1.0,0,297
-------------------OX-X--XXOOX----XOOO-----XO------------------- X;,418123,38451293,-63.1909462048249,-6.636597364890235,-64,64,-64,-4,418123,1.0,0,1380
-------------------OX-X--XXXOX----XOOO-----XO------------------- X;,498144,45851901,-63.49659134708036,-5.731555534142738,-64,64,-64,-4,498144,1.0,0,1396
