kind,top_left_r,top_left_c,len_path,sign_flips,loop_cosine,classification
rect_1x2,0,3,7,3,1.0000000000000002,trivial
rect_1x2,0,4,7,3,1.0000000000000002,trivial
rect_1x2,0,5,7,3,1.0000000000000002,trivial
rect_1x2,0,6,7,3,1.0000000000000002,trivial
rect_1x2,1,0,7,3,1.0000000000000002,trivial
rect_1x2,1,1,7,3,1.0000000000000002,trivial
rect_1x2,1,2,7,3,1.0000000000000002,trivial
rect_1x2,1,3,7,3,1.0000000000000002,trivial
rect_1x2,1,4,7,3,1.0000000000000002,trivial
rect_1x2,1,5,7,3,1.0000000000000002,trivial
rect_1x2,1,6,7,3,1.0000000000000002,trivial
rect_1x2,2,0,7,3,1.0000000000000002,trivial
rect_1x2,2,1,7,3,1.0000000000000002,trivial
rect_1x2,2,2,7,3,1.0000000000000002,trivial
rect_1x2,2,3,7,3,1.0000000000000002,trivial
rect_1x2,2,4,7,3,1.0000000000000002,trivial
rect_1x2,2,5,7,3,1.0000000000000002,trivial
rect_1x2,2,6,7,3,1.0000000000000002,trivial
rect_1x2,3,0,7,3,1.0000000000000002,trivial
rect_1x2,3,1,7,3,1.0000000000000002,trivial
rect_1x2,3,2,7,3,1.0000000000000002,trivial
rect_1x2,3,3,7,3,1.0000000000000002,trivial
rect_1x2,3,4,7,3,1.0000000000000002,trivial
rect_1x2,3,5,7,3,1.0000000000000002,trivial
rect_1x2,3,6,7,3,1.0000000000000002,trivial
rect_1x2,4,0,7,3,1.0000000000000002,trivial
rect_1x2,4,1,7,3,1.0000000000000002,trivial
rect_1x2,4,2,7,3,1.0000000000000002,trivial
rect_1x2,4,3,7,3,1.0000000000000002,trivial
rect_1x2,4,4,7,3,1.0000000000000002,trivial
rect_1x2,4,5,7,3,1.0000000000000002,trivial
rect_1x2,4,6,7,3,1.0000000000000002,trivial
rect_1x2,5,0,7,3,1.0000000000000002,trivial
rect_1x2,5,1,7,3,1.0000000000000002,trivial
rect_1x2,5,2,7,3,1.0000000000000002,trivial
rect_1x2,5,3,7,3,1.0000000000000002,trivial
rect_1x2,5,4,7,3,1.0000000000000002,trivial
rect_1x2,5,5,7,3,1.0000000000000002,trivial
rect_1x2,5,6,7,3,1.0000000000000002,trivial
rect_1x3,0,0,9,4,1.0000000000000002,trivial
rect_1x3,0,1,9,4,1.0000000000000002,trivial
rect_1x3,0,2,9,4,1.0000000000000002,trivial
