game,t,delta,late_t,early__sheaf_black_lambda2,early__sheaf_white_lambda2,early__sheaf_black_entropy,early__sheaf_white_entropy,early__sheaf_black_kerdim,early__sheaf_white_kerdim,early__sheaf_black_lambdamax,early__sheaf_white_lambdamax,early__n_legal_moves,early__rho,early__empty_count,late__sheaf_black_lambda2,late__sheaf_white_lambda2,late__sheaf_black_entropy,late__sheaf_white_entropy,late__sheaf_black_kerdim,late__sheaf_white_kerdim,late__sheaf_black_lambdamax,late__sheaf_white_lambdamax,late__n_legal_moves,late__rho,late__empty_count
17,57,1,58,0.0991754044462259,0.2723020357729352,3.86605267252013,3.9174561231389085,128,128,10.53763547934128,11.109993774668284,3,0.953125,3,0.09908903993756973,0.31982604896423983,3.862439254233348,3.923810410732214,128,128,10.209594175986343,11.137749132148588,1,0.96875,2
17,58,1,59,0.09908903993756973,0.31982604896423983,3.862439254233348,3.923810410732214,128,128,10.209594175986343,11.137749132148588,1,0.96875,2,0.09908903993964426,0.31975542310211796,3.855300727516902,3.908900483156522,128,128,10.46457671950161,11.137742812708037,1,0.984375,1
18,0,1,1,0.22284228446926463,0.22284228446926463,4.021336224918118,4.021336224918118,128,128,10.958585790768575,10.958585790768575,4,0.0625,60,0.25748156809636663,0.25748156809636663,4.029356495951916,4.010940190227546,128,128,10.939873546284257,10.939873546284257,3,0.078125,59
18,1,1,2,0.25748156809636663,0.25748156809636663,4.029356495951916,4.010940190227546,128,128,10.939873546284257,10.939873546284257,3,0.078125,59,0.2748877019097615,0.2748877019097615,4.019248227840443,4.019248227840443,128,128,10.937250040725218,10.937250040725218,5,0.09375,58
18,2,1,3,0.2748877019097615,0.2748877019097615,4.019248227840443,4.019248227840443,128,128,10.937250040725218,10.937250040725218,5,0.09375,58,0.3131070137636926,0.3131070137636926,4.032347125909616,4.0026408641957785,128,128,10.907555539482322,10.907555539482322,3,0.109375,57
18,3,1,4,0.3131070137636926,0.3131070137636926,4.032347125909616,4.0026408641957785,128,128,10.907555539482322,10.907555539482322,3,0.109375,57,0.3495373241354437,0.3495373241354437,4.017699501451192,4.017460869915178,128,128,10.871751980388312,10.871751980388312,6,0.125,56
18,4,1,5,0.3495373241354437,0.3495373241354437,4.017699501451192,4.017460869915178,128,128,10.871751980388312,10.871751980388312,6,0.125,56,0.3586470136282303,0.3586470136282303,4.030293111257784,4.001164081002843,128,128,10.871704353187305,10.871704353187305,6,0.140625,55
18,5,1,6,0.3586470136282303,0.3586470136282303,4.030293111257784,4.001164081002843,128,128,10.871704353187305,10.871704353187305,6,0.140625,55,0.4068327055393411,0.4068327055393411,4.020149531483868,4.008906601712944,128,128,10.727372773676294,10.727372773676294,8,0.15625,54
18,6,1,7,0.4068327055393411,0.4068327055393411,4.020149531483868,4.008906601712944,128,128,10.727372773676294,10.727372773676294,8,0.15625,54,0.46344690211717887,0.46344690211717887,4.034668809732045,3.994829488678331,128,128,10.663307962299442,10.663307962299442,6,0.171875,53
18,7,1,8,0.46344690211717887,0.46344690211717887,4.034668809732045,3.994829488678331,128,128,10.663307962299442,10.663307962299442,6,0.171875,53,0.47322217705935826,0.4732221770593577,4.025532798606624,4.003289782285352,128,128,10.659173984074203,10.659173984074206,10,0.1875,52
18,8,1,9,0.47322217705935826,0.4732221770593577,4.025532798606624,4.003289782285352,128,128,10.659173984074203,10.659173984074206,10,0.1875,52,0.488401190440256,0.48840119044024766,4.0326352380017845,3.9942983739476645,128,128,10.645704101812338,10.645704101812322,8,0.203125,51
18,9,1,10,0.488401190440256,0.48840119044024766,4.0326352380017845,3.9942983739476645,128,128,10.645704101812338,10.645704101812322,8,0.203125,51,0.4918632071146906,0.4918632071146907,4.024124937285713,4.003121966848492,128,128,10.645614677468702,10.645614677468712,11,0.21875,50
18,10,1,11,0.4918632071146906,0.4918632071146907,4.024124937285713,4.003121966848492,128,128,10.645614677468702,10.645614677468712,11,0.21875,50,0.5747413005278017,0.5747413005278215,4.032958577027221,3.9956409981443306,128,128,10.385524496470437,10.385524496470445,9,0.234375,49
18,11,1,12,0.5747413005278017,0.5747413005278215,4.032958577027221,3.9956409981443306,128,128,10.385524496470437,10.385524496470445,9,0.234375,49,0.579071150049412,0.579071150049415,4.024760419209021,4.004254323666133,128,128,10.385520755804228,10.385520755804219,11,0.25,48
18,12,1,13,0.579071150049412,0.579071150049415,4.024760419209021,4.004254323666133,128,128,10.385520755804228,10.385520755804219,11,0.25,48,0.6265906589453882,0.626590658945394,4.030446488858976,3.9951050890075694,128,128,10.385518978404168,10.385518978404173,8,0.265625,47
18,13,1,14,0.6265906589453882,0.626590658945394,4.030446488858976,3.9951050890075694,128,128,10.385518978404168,10.385518978404173,8,0.265625,47,0.6430281842714881,0.6430281842714891,4.017645845863182,4.000768798801921,128,128,10.384979923830949,10.384979923830937,11,0.28125,46
18,14,1,15,0.6430281842714881,0.6430281842714891,4.017645845863182,4.000768798801921,128,128,10.384979923830949,10.384979923830937,11,0.28125,46,0.6433800788245512,0.643380078824554,4.030284248573978,3.984435718653195,128,128,10.54898817115288,10.384979483543532,5,0.296875,45
18,15,1,16,0.6433800788245512,0.643380078824554,4.030284248573978,3.984435718653195,128,128,10.54898817115288,10.384979483543532,5,0.296875,45,0.6433800922888276,0.6433800922888366,4.016636922803665,3.997731792073554,128,128,10.429676660759476,10.291169019272466,10,0.3125,44
18,16,1,17,0.6433800922888276,0.6433800922888366,4.016636922803665,3.997731792073554,128,128,10.429676660759476,10.291169019272466,10,0.3125,44,0.6433802212664483,0.6433802212664467,4.022218710869592,3.9854824853701976,128,128,10.53531675565904,10.287098734216952,5,0.328125,43
18,17,1,18,0.6433802212664483,0.6433802212664467,4.022218710869592,3.9854824853701976,128,128,10.53531675565904,10.287098734216952,5,0.328125,43,0.6775614503608595,0.6775614503608562,4.002622219076179,4.000229320689382,128,128,10.287098734216947,10.287098734216945,10,0.34375,42
18,18,1,19,0.6775614503608595,0.6775614503608562,4.002622219076179,4.000229320689382,128,128,10.287098734216947,10.287098734216945,10,0.34375,42,0.6775614503608631,0.6775614503608565,4.0099177303257685,3.9922722020144317,128,128,10.376849810773686,10.204449647298603,6,0.359375,41
18,19,1,20,0.6775614503608631,0.6775614503608565,4.0099177303257685,3.9922722020144317,128,128,10.376849810773686,10.204449647298603,6,0.359375,41,0.6775614503608552,0.677561450360853,3.9942724303302635,4.0101157125065185,128,128,10.138243920466579,10.618066441984965,10,0.375,40
18,20,1,21,0.6775614503608552,0.677561450360853,3.9942724303302635,4.0101157125065185,128,128,10.138243920466579,10.618066441984965,10,0.375,40,0.6775614503608541,0.6775614503608554,4.01271789387348,3.992978705119096,128,128,10.161001069456288,10.158460342269366,11,0.390625,39
18,21,1,22,0.6775614503608541,0.6775614503608554,4.01271789387348,3.992978705119096,128,128,10.161001069456288,10.158460342269366,11,0.390625,39,0.6786405234820354,0.6786405234820388,4.000649349971985,3.9987959970737164,128,128,10.136637029101689,10.158466033259884,12,0.40625,38
18,22,1,23,0.6786405234820354,0.6786405234820388,4.000649349971985,3.9987959970737164,128,128,10.136637029101689,10.158466033259884,12,0.40625,38,0.6945769243421596,0.6251344277510819,4.011497984314272,3.9774169757502564,128,128,10.197132295519037,10.158460342269361,9,0.421875,37
18,23,1,24,0.6945769243421596,0.6251344277510819,4.011497984314272,3.9774169757502564,128,128,10.197132295519037,10.158460342269361,9,0.421875,37,0.6945769243421638,0.6251363925814413,4.004715528900761,3.9848146901974433,128,128,10.170379262705392,10.323176687443127,12,0.4375,36
18,24,1,25,0.6945769243421638,0.6251363925814413,4.004715528900761,3.9848146901974433,128,128,10.170379262705392,10.323176687443127,12,0.4375,36,0.6945769243421539,0.6247188821876778,4.015791861626993,3.9735882826136866,128,128,10.239080351152225,10.108236926514532,9,0.453125,35
18,25,1,26,0.6945769243421539,0.6247188821876778,4.015791861626993,3.9735882826136866,128,128,10.239080351152225,10.108236926514532,9,0.453125,35,0.6945769243421598,0.6251345113600704,4.006222620036599,3.97596938310227,128,128,10.202635897093588,10.124365228093584,14,0.46875,34
