game,ply,side_to_move,n_empties,disc_diff_black_white,a1_minus_energy,edax_score_shallow,edax_score_deep,depth_gap
24,53,-1,7,15,12.500000000000002,1,28,27
24,54,1,6,2,9.875,3,-28,31
24,55,-1,5,7,7.125,-11,28,39
24,56,1,4,2,9.0,-3,-28,25
24,57,-1,3,7,6.25,18,28,10
24,58,1,2,-4,1.4999999999999998,-28,-28,0
24,59,-1,2,-4,1.4999999999999998,28,28,0
24,60,1,1,-15,12.750000000000002,-28,-28,0
24,61,-1,1,-15,12.750000000000002,28,28,0
24,62,1,0,-28,19.500000000000004,-28,-28,0
25,0,1,60,0,0.0,-4,-1,3
25,1,-1,59,3,1.1249999999999998,4,-1,5
25,2,1,58,0,0.0,-2,0,2
25,3,-1,57,3,1.2500000000000002,5,0,5
25,4,1,56,0,0.37499999999999994,-1,-1,0
25,5,-1,55,3,1.2500000000000002,3,0,3
25,6,1,54,0,0.37499999999999994,1,-1,2
25,7,-1,53,3,2.125,2,0,2
25,8,1,52,-2,2.25,5,0,5
25,9,-1,51,1,1.1249999999999998,2,4,2
25,10,1,50,-4,4.0,-1,-6,5
25,11,-1,49,1,1.1249999999999998,4,8,4
25,12,1,48,-4,5.5,-4,-9,5
25,13,-1,47,-1,6.125,6,9,3
25,14,1,46,-4,7.249999999999999,-6,-11,5
25,15,-1,45,-1,6.125,5,9,4
25,16,1,44,-8,9.249999999999998,0,-8,8
25,17,-1,43,1,1.875,8,14,6
25,18,1,42,-2,3.1250000000000004,-9,-17,8
25,19,-1,41,3,2.5000000000000004,11,17,6
25,20,1,40,0,1.6249999999999998,-9,-19,10
25,21,-1,39,5,1.2500000000000002,16,16,0
25,22,1,38,2,0.5000000000000001,-16,-19,3
25,23,-1,37,7,2.3749999999999996,19,21,2
25,24,1,36,2,0.7499999999999999,-15,-18,3
25,25,-1,35,5,1.6249999999999998,17,18,1
25,26,1,34,0,2.0000000000000004,-14,-16,2
25,27,-1,33,7,3.6250000000000004,20,21,1
25,28,1,32,2,2.75,-17,-25,8
25,29,-1,31,5,2.125,20,22,2
25,30,1,30,2,2.5000000000000004,-19,-26,7
25,31,-1,29,7,3.6250000000000004,19,26,7
25,32,1,28,4,3.2499999999999996,-22,-26,4
25,33,-1,27,11,6.125,21,26,5
25,34,1,26,8,3.7500000000000004,-24,-26,2
25,35,-1,25,17,10.875,34,34,0
25,36,1,24,14,11.999999999999998,-21,-26,5
25,37,-1,23,19,12.375,29,36,7
25,38,1,22,10,9.0,-26,-36,10
25,39,-1,21,15,11.250000000000002,28,42,14
25,40,1,20,8,9.125,-19,-42,23
25,41,-1,19,19,10.000000000000002,24,42,18
25,42,1,18,16,6.125,-19,-42,23
25,43,-1,17,25,14.25,25,42,17
25,44,1,16,20,10.625000000000002,-18,-40,22
25,45,-1,15,23,11.0,24,40,16
25,46,1,14,16,7.375,-20,-36,16
25,47,-1,13,19,9.249999999999998,25,36,11
25,48,1,12,14,8.5,-22,-36,14
25,49,-1,11,21,14.125,25,36,11
25,50,1,10,18,11.250000000000002,-27,-36,9
25,51,-1,9,25,16.500000000000004,34,36,2
25,52,1,8,14,8.75,-30,-36,6
25,53,-1,7,17,11.0,35,36,1
25,54,1,6,8,6.25,-28,-36,8
25,55,-1,5,17,15.124999999999998,39,40,1
25,56,1,4,12,9.0,-31,-40,9
25,57,-1,4,12,9.0,31,40,9
25,58,1,3,-7,7.125,-46,-40,6
25,59,-1,3,-7,7.125,46,40,6
25,60,1,2,-10,8.875,-40,-40,0
25,61,-1,2,-10,8.875,40,40,0
25,62,1,1,-25,10.625000000000002,-40,-40,0
25,63,-1,1,-25,10.625000000000002,40,40,0
25,64,1,0,-40,29.5,-40,-40,0
26,0,1,60,0,0.0,-4,-1,3
26,1,-1,59,3,1.1249999999999998,4,-1,5
26,2,1,58,0,0.0,-2,0,2
26,3,-1,57,3,1.2500000000000002,5,0,5
26,4,1,56,0,0.37499999999999994,-1,-1,0
26,5,-1,55,3,1.2500000000000002,3,0,3
26,6,1,54,0,0.37499999999999994,1,-1,2
26,7,-1,53,3,2.125,2,0,2
26,8,1,52,0,0.37499999999999994,-1,-2,1
26,9,-1,51,3,1.2500000000000002,1,1,0
26,10,1,50,-2,0.875,0,-2,2
26,11,-1,49,3,0.7499999999999999,3,1,2
26,12,1,48,0,0.875,2,2,0
26,13,-1,47,5,5.5,0,-4,4
