parent_obf,n_children,bytes,mean_lb,mean_ub,min_lb,max_ub,median_lb,median_ub,exact_count,exact_fraction,parse_errors
--------------------XO----XXXOX---XXOO-----OOO------------------ X;,1185349,108774085,-62.812947916605154,-6.890412022113319,-64,64,-64,-4,1175860,0.9919947627238898,0
--------------------XOO----XXOO---XXOO----OOO------------------- X;,720130,64340767,7.322847263688501,63.879738380570174,-64,64,4,64,720044,0.9998805771180204,0
--------------------XOO----XXOX---XXOO-----OOO------------------ X;,1614191,148321293,-62.61936474679886,-8.523228663770272,-64,64,-64,-4,1599932,0.9911664728647354,0
--------------------XX-----XXX----XOXOO---OOOO------------------ X;,2287640,210581428,-63.3437188543652,-5.651145722229022,-64,64,-64,-4,2274995,0.994472469444493,0
--------------------XX----OOXO-----XO-----XOOO----O--O---------- X;,957616,85882182,4.971302693355165,63.96785872416501,-64,64,4,64,956350,0.9986779669512623,0
--------------------XX----OOXOO----XO-----XOOO----O------------- X;,440898,39472526,5.759665500864146,63.920664189903334,-64,64,4,64,440820,0.999823088333356,0
--------------------XX----OXXO----OXO-----OOOO----O------------- X;,290265,25970637,8.77204623361411,63.79516648579746,-64,64,4,64,288146,0.9926997743441338,0
--------------------XX----OXXO----XXO----OOOOO------------------ X;,1598677,143433661,5.295182829301979,63.94970278549075,-64,64,4,64,1598418,0.9998379910388402,0
--------------------XX----OXXO----XXX----OOOO------O------------ X;,2585371,233019673,4.3905764395129365,63.85016811900497,-64,64,4,64,2578049,0.997167911297837,0
--------------------XX----OXXO---OXXX-----OOO------O------------ X;,2438270,218829320,5.172714670647632,63.97131777858892,-64,64,4,64,2437935,0.9998626075045012,0
--------------------XX---OOXXO----OXX-----XOO------O------------ X;,11815881,1083010711,-39.74650557161163,19.787450804557018,-64,64,-64,-2,11709759,0.9910186976324491,0
--------------------XX---X-XXO----XOO-----XOOO-----O------------ X;,571200,52381790,-63.009173669467785,-6.8903711484593835,-64,64,-64,-4,569044,0.9962254901960784,0
--------------------XX---XXXXX-----OOOO----XOO------------------ X;,500162,45811033,-61.83209840011836,-8.424466472862793,-64,64,-64,-4,495554,0.9907869850168546,0
--------------------XXX----XOOO---XXXO-----OOO------------------ X;,1123953,103514656,-63.38982235022283,-5.1692152607804775,-64,64,-64,-4,1120293,0.9967436360773093,0
--------------------XXX----XOX----XOX-----XOO------OO----------- X;,103787,9516580,-62.56723867150992,-7.250349273030341,-64,64,-64,-4,103171,0.9940647672637228,0
--------------------XXX----XXOX---XOOO-----OOO------------------ X;,446353,41048642,-62.6371392149263,-6.089586045125719,-64,64,-64,-4,444144,0.9950510022336582,0
--------------------XXX---OXOO----OOOO----O-O-------O----------- X;,340801,30442960,13.452574963101634,63.73621262848407,-64,64,4,64,340485,0.9990727726737891,0
--------------------XXX---OXOO---OOOOO------O-------O----------- X;,481724,43054318,11.345947056820918,63.8048945039068,-64,64,4,64,481637,0.9998193986598135,0
--------------------XXX---XXOO----XOO-----OOOO------------------ X;,1692834,155728640,-63.58346004392634,-5.303818921406352,-64,64,-64,-4,1688845,0.997643596477859,0
--------------------XXX--XXXXX-----OOO----OOO------------------- X;,821441,75363688,-63.297516194102805,-6.056837922626214,-64,64,-64,-4,814787,0.991899600823431,0
-------------------O------XOX-----OOOOO--OOOOO------------------ X;,1616324,144906452,6.632120168976022,63.9399779994605,-64,64,4,64,1616027,0.9998162497123102,0
-------------------O------XXOX----OOOO---OOO-O-----O------------ X;,790270,70744440,5.887848456856517,63.944011540359625,-64,64,4,64,789972,0.9996229136877269,0
-------------------O------XXOX---OOOOO----OO-O-----O------------ X;,526933,47144994,6.057587966591578,63.91482218802011,-64,64,4,64,526690,0.9995388408013922,0
-------------------O------XXXXO----OOOOO--OOO------------------- X;,499633,44721088,6.269137546959469,63.83118809205957,-64,64,4,64,497921,0.9965734849379444,0
-------------------O-----OXOX---XXXOO----O-OOO------------------ X;,28233,2515737,18.971133071228703,62.70782417738108,-64,64,4,64,28224,0.999681224099458,0
-------------------O-----OXXXX---OOXX-----OO-O-----O------------ X;,476863,42713371,7.663746191254092,63.889253307553744,-64,64,4,64,476649,0.9995512337925149,0
-------------------O-----OXXXX---OXXXO---OOO-------------------- X;,1429038,128396983,6.069647553109155,63.9248298505708,-64,64,4,64,1413800,0.9893368825741513,0
-------------------O-O----XXOX----XXXO----OOO-O----------------- X;,584596,52303967,6.061599805677767,63.920312489308856,-64,64,4,64,584374,0.999620250566203,0
-------------------O-O----XXOX---OXOX-----OO-O-----O------------ X;,213663,19081302,6.505197437085504,63.89915895592592,-64,64,4,64,213637,0.9998783130443736,0
-------------------O-X-----XOX---OOXOO----X-OOO----------------- X;,1989090,178337048,5.358847010441961,63.96643339416517,-64,64,4,64,1988187,0.9995460235585116,0
-------------------O-X----XOXX----OOOX----XOO-------O----------- X;,1398739,128758001,-63.62231838820538,-4.812674844985376,-64,64,-64,-4,1394998,0.9973254481357852,0
-------------------O-X----XOXX---XXXOX-----OOO------------------ X;,1047299,96255689,-63.538279899054615,-5.0241898445429625,-64,64,-64,-4,1044911,0.9977198488683747,0
-------------------O-X----XOXXX---OOO-----XOO-------O----------- X;,681262,62738689,-63.74740995387971,-4.4241099606318866,-64,64,-64,-4,679980,0.9981181982849476,0
-------------------O-X---OOOOO----OXOO-----OOO------------------ X;,890610,79655465,7.3702394987705055,63.92379492707246,-64,64,4,64,890534,0.9999146652294495,0
-------------------O-X---XXOXXX----OO-----XOO-------O----------- X;,286231,26264763,-63.39863606667342,-5.80184186897995,-64,64,-64,-4,283749,0.9913286820784611,0
-------------------O-XO----OXO---OOOOO----XO--O----------------- X;,744638,66623696,6.2718085834996335,63.94184959671679,-64,64,4,64,744547,0.9998777929678582,0
-------------------O-XO---OXXO---OOOOO----XO-------------------- X;,1573514,140845156,6.884599056633751,63.87691815897412,-64,64,4,64,1564782,0.9944506372361479,0
-------------------O-XO---XXXO----XXOO---OOO-------------------- X;,1172619,105159754,5.81847556623251,63.95606160227661,-64,64,4,64,1172429,0.9998379695365673,0
-------------------OO-----XOOX----XXXO-----OOOO----------------- X;,1200062,107589435,5.457773015060888,63.948545991790425,-64,64,4,64,1199748,0.9997383468520793,0
-------------------OO-----XXOX-----XXO----O-OOO-----O----------- X;,1091136,97698121,5.927803683500499,63.95045347234442,-64,64,4,64,1090617,0.9995243489354214,0
-------------------OO-----XXOX----XXXO----OOO-O----------------- X;,1191617,106699998,6.3046356337648755,63.9327728624214,-64,64,4,64,1191102,0.9995678141550515,0
-------------------OO-----XXOXO---XXOO----OOO------------------- X;,909655,81358485,6.999704283492093,63.84843924344944,-64,64,4,64,907714,0.9978662240080031,0
-------------------OO----OXOXX---XXOO------OOO------------------ X;,643403,57646214,6.030015402477141,63.85664039490024,-64,64,4,64,643133,0.9995803563241079,0
-------------------OOO-----XXO----XOOOO---OOO------------------- X;,276068,24664127,6.883568541084081,63.72133314980367,-64,64,4,64,275933,0.9995109900459307,0
-------------------OOO-----XXO----XOXO----OOOO------------------ X;,401101,35905191,7.323601786083804,63.72467782428865,-64,64,4,64,398699,0.9940114833919637,0
-------------------OOO-----XXXO---XOXO----OOO------------------- X;,621348,55604004,6.958020304241745,63.91349775005311,-64,64,4,64,621156,0.9996909944185867,0
-------------------OOO----OXOX---OXOO-----OOO------------------- X;,237270,21178003,7.453984911703966,63.81773928435959,-64,64,4,64,237224,0.9998061280397859,0
-------------------OOO----XOOX----OXX----O-OO------O------------ X;,457974,40909837,9.326077462912743,63.81075563241581,-64,64,4,64,457703,0.9994082633511946,0
-------------------OOO----XOOX----OXX----OOOO------------------- X;,457789,40925510,7.268335412165867,63.81887288685399,-64,64,4,64,457510,0.9993905489210094,0
-------------------OOO----XOOX----XOX-----OOO------O------------ X;,1268670,113667605,5.856435479675565,63.929696453766546,-64,64,4,64,1268474,0.9998455074999802,0
-------------------OOO----XOOX----XXO------OOO-----O------------ X;,1888319,169371425,5.456396403361932,63.96417183749144,-64,64,4,64,1887326,0.9994741354612224,0
-------------------OOO----XOXX----OXO----OOOO------------------- X;,411424,36770379,6.709890526561407,63.74788539317103,-64,64,4,64,410125,0.996842673251925,0
-------------------OOO----XOXX----XOXO-----OO-O----------------- X;,695602,62287802,5.630987259956124,63.9322428630165,-64,64,4,64,695447,0.9997771714284893,0
-------------------OOO----XOXXO---XOXO-----OO------------------- X;,615967,55106856,6.5041422673617255,63.902106768706766,-64,64,4,64,615874,0.9998490178856985,0
-------------------OOO----XXOX----XOXO-----OO-O----------------- X;,2693820,242234959,5.251360521489929,63.96879004536309,-64,64,4,64,2693310,0.9998106777735706,0
-------------------OOO----XXOX----XOXO----O-O-O----------------- X;,1051115,94123764,6.085440698686633,63.909321054309,-64,64,4,64,1049383,0.9983522259695656,0
-------------------OOO----XXOXO---XOXO----O-O------------------- X;,627179,56133319,6.020375363333275,63.92039752606512,-64,64,4,64,626378,0.9987228526465332,0
-------------------OOO----XXOXX---XXOO-----O--O----------------- X;,3316592,305187805,-63.43863791506462,-6.876612197098709,-64,64,-64,-4,3298127,0.9944325379787444,0
-------------------OOO----XXXO----XOOOO----OO------------------- X;,428077,38246802,6.928512861003978,63.853355821499406,-64,64,4,64,428033,0.9998972147534205,0
-------------------OOO----XXXO----XOOOO---O-O------------------- X;,401365,35839049,7.576512650579896,63.828612360320406,-64,64,4,64,400899,0.9988389620420316,0
-------------------OOO----XXXO----XOXO-----OOO------------------ X;,488653,43705068,8.037337333445205,63.78911211022955,-64,64,4,64,487070,0.9967604823872973,0
-------------------OOO----XXXO----XOXO----O-OO------------------ X;,302179,27005100,8.46213006198313,63.68314806786706,-64,64,4,64,301880,0.9990105202545511,0
-------------------OOO----XXXXO---XOXO-----OO------------------- X;,874270,78278195,6.1317659304333905,63.910420121930294,-64,64,4,64,872159,0.9975854141169204,0
-------------------OOO----XXXXO---XOXO----O-O------------------- X;,500887,44785911,6.573239073882932,63.89375647601155,-64,64,4,64,499496,0.9972229265283388,0
-------------------OOO---OXXXX----OXO-----OOO------------------- X;,420034,37515829,7.041053819452711,63.792773918301855,-64,64,4,64,418685,0.9967883552283863,0
-------------------OOX-----OOXO---XOOO----OOO------------------- X;,1141250,102131774,6.354924863088718,63.92318247535597,-64,64,4,64,1141151,0.9999132530120481,0
-------------------OOX----XOOX----XXOX-----OO-------O----------- X;,2232189,205705574,-63.64172299030234,-4.627763150880145,-64,64,-64,-4,2225211,0.996873920622313,0
-------------------OOX----XOXX----XOOX----XOO------------------- X;,1232146,113334262,-63.44183806139857,-4.833117990887444,-64,64,-64,-4,1227883,0.9965401827380846,0
-------------------OOX----XOXX----XXOX-----OOO------------------ X;,2663302,245506688,-63.607021659578976,-4.646441898064883,-64,64,-64,-4,2654161,0.9965677944146026,0
-------------------OOX----XXO-----XXXO----O-OOO----------------- X;,1054510,94407033,5.6538790528302245,63.96486519805407,-64,64,4,64,1054218,0.9997230941385098,0
-------------------OOX----XXO-O----XXOO-----OOO----------------- X;,676148,60441341,7.437254861361714,63.920098854097034,-64,64,4,64,675971,0.9997382229925993,0
-------------------OOX----XXOX----XXOO-----OOO------------------ X;,3072590,282900398,-63.61938690160419,-5.016245577834986,-64,64,-64,-4,3064013,0.9972085439319922,0
-------------------OOX----XXOX----XXOO----XO-O------------------ X;,2427012,223341182,-63.58119036906287,-4.830547191361229,-64,64,-64,-4,2408448,0.9923510884989444,0
-------------------OOX---XXOOX----XXOO----X-O------------------- X;,862885,79182174,-63.50311802847425,-5.015586086210793,-64,64,-64,-4,860946,0.997752887117055,0
-------------------OOX---XXOXX----XOX-----OOO------------------- X;,1925864,177092444,-63.573933050308845,-5.24624324459048,-64,64,-64,-4,1920252,0.9970859832262299,0
-------------------OX------OO----XXXXOX---X--OO------O---------- X;,239139,21927063,-62.66730228026378,-7.652402995747243,-64,64,-64,-4,238310,0.996533396894693,0
-------------------OX------OOOOO--XOOO-----OOO------------------ X;,1974631,177113863,5.160968808855933,63.97460031773025,-64,64,4,64,1974480,0.9999235300164943,0
-------------------OX------XO-O---XOXOO---OOO-O----------------- X;,350045,31267721,7.9654158751017725,63.8722449970718,-64,64,4,64,349973,0.9997943121598651,0
-------------------OX------XOO----XOXO----OOOOO----------------- X;,1579703,141579750,5.631701655311157,63.97129713623384,-64,64,4,64,1579272,0.9997271639035945,0
-------------------OX------XX-O---XOOOOO--OOO------------------- X;,909773,81309264,8.869777406012268,63.79738462231788,-64,64,4,64,905326,0.9951119674907917,0
-------------------OX------XXO----XOXO----OOOO-------O---------- X;,2033675,182121744,5.082970484467774,63.98038821345594,-64,64,4,64,1740490,0.8558348802045558,0
-------------------OX------XXX---XXXXO----OOO-----O------------- X;,3443781,316867583,-63.34181296662012,-6.621826997709785,-64,64,-64,-4,3430355,0.9961013781073768,0
-------------------OX-----OOOX---XXOX-X---OO-------O------------ X;,959920,88238687,-63.53775418784899,-5.410951954329527,-64,64,-64,-4,954623,0.9944818318193183,0
-------------------OX-----OXXX----XOXO----XOOO------------------ X;,3867121,356573938,-63.699900520309555,-4.694818962220215,-64,64,-64,-4,3848742,0.995247368778996,0
-------------------OX-----XOO-----XOXXX---XOOO------------------ X;,1841087,169408420,-63.57928767081621,-5.007169134321192,-64,64,-64,-4,1836378,0.9974422718752562,0
-------------------OX-----XXXX----XOOO---XOOO------------------- X;,2946809,270636150,-63.36141025767194,-6.361637282905,-64,64,-64,-4,2933055,0.9953325783924238,0
-------------------OX----OOXX----OXOO---O--OOO------------------ X;,415138,37109374,8.851810723181208,63.75991357090895,-64,64,4,64,414990,0.9996434920436096,0
-------------------OX----OXXX----OXOO----O-OOO------------------ X;,348896,31189017,9.523330734660185,63.71517013665964,-64,64,4,64,347741,0.9966895579198386,0
-------------------OX----OXXX---OOOOO------OOO------------------ X;,252205,22531724,12.560655022699788,63.4462679169723,-64,64,4,64,252068,0.9994567911024762,0
-------------------OX----X-XXX----XXXO----OOO-----O------------- X;,3014453,277167799,-63.3845288017428,-6.536128776929015,-64,64,-64,-4,3003014,0.9962052816879214,0
-------------------OX----XOOX----OOOXX----XOO------------------- X;,1248906,114630877,-62.53189591530508,-7.864555058587276,-64,64,-64,-4,1237452,0.9908287733424292,0
-------------------OX----XOOX---XXXOXX-----OO------------------- X;,339475,31078198,-61.60927314235216,-10.180826275867148,-64,64,-64,-4,336121,0.9901200382944252,0
-------------------OX----XOXX----XOOXX---XO-O------------------- X;,184534,16865612,-60.54336870170267,-11.744318120238004,-64,64,-64,-4,181579,0.9839866907995275,0
-------------------OX----XXXOXX---XOOO-----XO------------------- X;,528377,48456524,-63.4097907365385,-5.911375779036559,-64,64,-64,-4,527295,0.9979522197219031,0
