Parsing SERVER log...
  Found 3067 SERVER activations
Parsing CLIENT log...
  Found 3069 CLIENT activations

================================================================================
BILATERAL TIMING ANALYSIS
================================================================================

Time (s)     Period (ms)  Delta (ms)   Target (ms)  Error (ms)   Status
288.09       2000         -1675        1000         -2675        OVERLAP
288.09       2000         325          1000         -675         OVERLAP
290.05       2000         -1635        1000         -2635        OVERLAP
290.05       2000         365          1000         -635         OVERLAP
292.06       2000         -1645        1000         -2645        OVERLAP
292.06       2000         355          1000         -645         OVERLAP
294.07       2000         -1655        1000         -2655        OVERLAP
294.07       2000         345          1000         -655         OVERLAP
296.08       2000         -1665        1000         -2665        OVERLAP
296.08       2000         335          1000         -665         OVERLAP
298.08       2000         -1665        1000         -2665        OVERLAP
298.08       2000         335          1000         -665         OVERLAP
300.09       2000         -1675        1000         -2675        OVERLAP
300.09       2000         325          1000         -675         OVERLAP
302.05       2000         -1635        1000         -2635        OVERLAP
302.05       2000         375          1000         -625         OVERLAP
304.07       2000         -1645        1000         -2645        OVERLAP
304.07       2000         355          1000         -645         OVERLAP
306.08       2000         -1655        1000         -2655        OVERLAP
306.08       2000         345          1000         -655         OVERLAP
308.09       2000         -1665        1000         -2665        OVERLAP
308.09       2000         335          1000         -665         OVERLAP
310.04       2000         -1605        1000         -2605        OVERLAP
310.04       2000         385          1000         -615         OVERLAP
312.05       2000         -1615        1000         -2615        OVERLAP
312.05       2000         375          1000         -625         OVERLAP
314.06       2000         -1625        1000         -2625        OVERLAP
314.06       2000         365          1000         -635         OVERLAP
314.06       2000         375          1000         -625         OVERLAP
316.07       2000         -1635        1000         -2635        OVERLAP
316.07       2000         355          1000         -645         OVERLAP
316.07       2000         365          1000         -635         OVERLAP
318.08       2000         -1645        1000         -2645        OVERLAP
318.08       2000         345          1000         -655         OVERLAP
318.08       2000         345          1000         -655         OVERLAP
320.08       2000         -1655        1000         -2655        OVERLAP
320.08       2000         355          1000         -645         OVERLAP
320.09       2000         345          1000         -655         OVERLAP
322.09       2000         -1655        1000         -2655        OVERLAP
322.09       2000         345          1000         -655         OVERLAP
322.10       2000         335          1000         -665         OVERLAP
324.11       2000         -1675        1000         -2675        OVERLAP
324.11       2000         325          1000         -675         OVERLAP
326.12       2000         -1685        1000         -2685        OVERLAP
326.12       2000         315          1000         -685         OVERLAP
328.07       2000         -1635        1000         -2635        OVERLAP
328.07       2000         365          1000         -635         OVERLAP
330.08       2000         -1645        1000         -2645        OVERLAP
330.08       2000         355          1000         -645         OVERLAP
332.09       2000         -1655        1000         -2655        OVERLAP
332.09       2000         345          1000         -655         OVERLAP
334.10       2000         -1665        1000         -2665        OVERLAP
334.10       2000         335          1000         -665         OVERLAP
336.11       2000         -1675        1000         -2675        OVERLAP
336.11       2000         325          1000         -675         OVERLAP
338.11       2000         -1675        1000         -2675        OVERLAP
338.11       2000         325          1000         -675         OVERLAP
340.07       2000         -1635        1000         -2635        OVERLAP
340.07       2000         365          1000         -635         OVERLAP
342.08       2000         -1645        1000         -2645        OVERLAP
342.08       2000         355          1000         -645         OVERLAP
344.09       2000         -1655        1000         -2655        OVERLAP
344.09       2000         345          1000         -655         OVERLAP
346.10       2000         -1665        1000         -2665        OVERLAP
346.10       2000         335          1000         -665         OVERLAP
348.10       2000         -1665        1000         -2665        OVERLAP
348.10       2000         335          1000         -665         OVERLAP
350.06       2000         -1625        1000         -2625        OVERLAP
350.06       2000         375          1000         -625         OVERLAP
352.07       2000         -1635        1000         -2635        OVERLAP
352.07       2000         365          1000         -635         OVERLAP
354.08       2000         -1645        1000         -2645        OVERLAP
354.08       2000         355          1000         -645         OVERLAP
356.09       2000         -1655        1000         -2655        OVERLAP
356.09       2000         345          1000         -655         OVERLAP
358.09       2000         -1655        1000         -2655        OVERLAP
358.09       2000         345          1000         -655         OVERLAP
360.10       2000         -1665        1000         -2665        OVERLAP
360.10       2000         335          1000         -665         OVERLAP
362.06       2000         -1625        1000         -2625        OVERLAP
362.06       2000         385          1000         -615         OVERLAP
364.08       2000         -1635        1000         -2635        OVERLAP
364.08       2000         365          1000         -635         OVERLAP
366.09       2000         -1645        1000         -2645        OVERLAP
366.09       2000         355          1000         -645         OVERLAP
368.10       2000         -1655        1000         -2655        OVERLAP
368.10       2000         345          1000         -655         OVERLAP
370.05       2000         -1605        1000         -2605        OVERLAP
370.05       2000         395          1000         -605         OVERLAP
372.06       2000         -1615        1000         -2615        OVERLAP
372.06       2000         385          1000         -615         OVERLAP
374.07       2000         -1625        1000         -2625        OVERLAP
374.07       2000         375          1000         -625         OVERLAP
376.08       2000         -1635        1000         -2635        OVERLAP
376.08       2000         365          1000         -635         OVERLAP
378.09       2000         -1645        1000         -2645        OVERLAP
378.09       2000         355          1000         -645         OVERLAP
380.04       2000         -1595        1000         -2595        OVERLAP
380.04       2000         405          1000         -595         OVERLAP
382.05       2000         -1605        1000         -2605        OVERLAP
382.05       2000         395          1000         -605         OVERLAP
384.06       2000         -1615        1000         -2615        OVERLAP
384.06       2000         385          1000         -615         OVERLAP
386.07       2000         -1625        1000         -2625        OVERLAP
386.07       2000         375          1000         -625         OVERLAP
388.08       2000         -1635        1000         -2635        OVERLAP
388.08       2000         365          1000         -635         OVERLAP
390.08       2000         -1635        1000         -2635        OVERLAP
390.08       2000         365          1000         -635         OVERLAP
392.04       2000         -1595        1000         -2595        OVERLAP
392.04       2000         405          1000         -595         OVERLAP
394.05       2000         -1605        1000         -2605        OVERLAP
394.05       2000         395          1000         -605         OVERLAP
396.06       2000         -1615        1000         -2615        OVERLAP
396.06       2000         385          1000         -615         OVERLAP
398.07       2000         -1625        1000         -2625        OVERLAP
398.07       2000         375          1000         -625         OVERLAP
400.07       2000         -1625        1000         -2625        OVERLAP
400.07       2000         375          1000         -625         OVERLAP
402.03       2000         -1585        1000         -2585        OVERLAP
402.03       2000         415          1000         -585         OVERLAP
404.04       2000         -1595        1000         -2595        OVERLAP
404.04       2000         405          1000         -595         OVERLAP
406.05       2000         -1605        1000         -2605        OVERLAP
406.05       2000         395          1000         -605         OVERLAP
408.06       2000         -1615        1000         -2615        OVERLAP
408.06       2000         385          1000         -615         OVERLAP
410.06       2000         -1615        1000         -2615        OVERLAP
410.06       2000         385          1000         -615         OVERLAP
412.07       2000         -1625        1000         -2625        OVERLAP
412.07       2000         375          1000         -625         OVERLAP
414.03       2000         -1585        1000         -2585        OVERLAP
414.03       2000         415          1000         -585         OVERLAP
416.04       2000         -1595        1000         -2595        OVERLAP
416.04       2000         405          1000         -595         OVERLAP
418.05       2000         -1605        1000         -2605        OVERLAP
418.05       2000         395          1000         -605         OVERLAP
420.05       2000         -1605        1000         -2605        OVERLAP
420.05       2000         395          1000         -605         OVERLAP
422.06       2000         -1615        1000         -2615        OVERLAP
422.06       2000         395          1000         -605         OVERLAP
424.04       2000         -1585        1000         -2585        OVERLAP
424.04       2000         415          1000         -585         OVERLAP
426.05       2000         -1595        1000         -2595        OVERLAP
426.05       2000         405          1000         -595         OVERLAP
428.06       2000         -1605        1000         -2605        OVERLAP
428.06       2000         395          1000         -605         OVERLAP
430.01       2000         -1545        1000         -2545        OVERLAP
430.01       2000         445          1000         -555         OVERLAP
432.02       2000         -1555        1000         -2555        OVERLAP
432.02       2000         435          1000         -565         OVERLAP
434.03       2000         -1565        1000         -2565        OVERLAP
434.03       2000         425          1000         -575         OVERLAP
434.03       2000         435          1000         -565         OVERLAP
436.04       2000         -1575        1000         -2575        OVERLAP
436.04       2000         415          1000         -585         OVERLAP
436.04       2000         425          1000         -575         OVERLAP
438.05       2000         -1585        1000         -2585        OVERLAP
438.05       2000         405          1000         -595         OVERLAP
438.05       2000         405          1000         -595         OVERLAP
440.05       2000         -1595        1000         -2595        OVERLAP
440.05       2000         415          1000         -585         OVERLAP
440.06       2000         405          1000         -595         OVERLAP
442.06       2000         -1595        1000         -2595        OVERLAP
442.06       2000         405          1000         -595         OVERLAP
442.07       2000         395          1000         -605         OVERLAP
444.08       2000         -1615        1000         -2615        OVERLAP
444.08       2000         385          1000         -615         OVERLAP
446.09       2000         -1625        1000         -2625        OVERLAP
446.09       2000         375          1000         -625         OVERLAP
448.09       2000         -1625        1000         -2625        OVERLAP
448.09       2000         375          1000         -625         OVERLAP
450.05       2000         -1585        1000         -2585        OVERLAP
450.05       2000         415          1000         -585         OVERLAP
452.06       2000         -1595        1000         -2595        OVERLAP
452.06       2000         405          1000         -595         OVERLAP
454.07       2000         -1605        1000         -2605        OVERLAP
454.07       2000         395          1000         -605         OVERLAP
456.08       2000         -1615        1000         -2615        OVERLAP
456.08       2000         385          1000         -615         OVERLAP
458.08       2000         -1615        1000         -2615        OVERLAP
458.08       2000         385          1000         -615         OVERLAP
460.09       2000         -1625        1000         -2625        OVERLAP
460.09       2000         375          1000         -625         OVERLAP
462.05       2000         -1585        1000         -2585        OVERLAP
462.05       2000         415          1000         -585         OVERLAP
464.06       2000         -1595        1000         -2595        OVERLAP
464.06       2000         405          1000         -595         OVERLAP
466.07       2000         -1605        1000         -2605        OVERLAP
466.07       2000         395          1000         -605         OVERLAP
468.07       2000         -1605        1000         -2605        OVERLAP
468.07       2000         395          1000         -605         OVERLAP
470.08       2000         -1615        1000         -2615        OVERLAP
470.08       2000         385          1000         -615         OVERLAP
472.04       2000         -1575        1000         -2575        OVERLAP
472.04       2000         425          1000         -575         OVERLAP
474.05       2000         -1585        1000         -2585        OVERLAP
474.05       2000         415          1000         -585         OVERLAP
476.06       2000         -1595        1000         -2595        OVERLAP
476.06       2000         405          1000         -595         OVERLAP
478.06       2000         -1595        1000         -2595        OVERLAP
478.06       2000         405          1000         -595         OVERLAP
480.07       2000         -1605        1000         -2605        OVERLAP
480.07       2000         395          1000         -605         OVERLAP
482.08       2000         -1615        1000         -2615        OVERLAP
482.08       2000         395          1000         -605         OVERLAP
484.05       2000         -1575        1000         -2575        OVERLAP
484.05       2000         425          1000         -575         OVERLAP
486.06       2000         -1585        1000         -2585        OVERLAP
486.06       2000         415          1000         -585         OVERLAP
488.07       2000         -1595        1000         -2595        OVERLAP
488.07       2000         405          1000         -595         OVERLAP
