Parsing SERVER log (ACTIVE only)...
  Found 2699 SERVER activations
Parsing CLIENT log (ACTIVE only)...
  Found 2699 CLIENT activations

====================================================================================================
BILATERAL PHASE TIMING ANALYSIS (ACTIVE CYCLES ONLY)
====================================================================================================

Time (s)     Period (ms)  CLIENT @     Target @     Phase Err    Status
1024.65      2000         +1685        1000         +685         DRIFT
1026.65      2000         +1635        1000         +635         DRIFT
1028.65      2000         +1645        1000         +645         DRIFT
1030.65      2000         +1655        1000         +655         DRIFT
1032.65      2000         +1665        1000         +665         DRIFT
1034.65      2000         +1675        1000         +675         DRIFT
1036.65      2000         +1675        1000         +675         DRIFT
1038.65      2000         +1685        1000         +685         DRIFT
1040.65      2000         +1695        1000         +695         DRIFT
1042.65      2000         +1705        1000         +705         DRIFT
1044.66      2000         +1655        1000         +655         DRIFT
1046.66      2000         +1665        1000         +665         DRIFT
1048.66      2000         +1675        1000         +675         DRIFT
1050.66      2000         +1685        1000         +685         DRIFT
1052.66      2000         +1695        1000         +695         DRIFT
1054.66      2000         +1645        1000         +645         DRIFT
1056.66      2000         +1655        1000         +655         DRIFT
1058.66      2000         +1665        1000         +665         DRIFT
1060.66      2000         +1675        1000         +675         DRIFT
1062.66      2000         +1685        1000         +685         DRIFT
1064.66      2000         +1685        1000         +685         DRIFT
1066.66      2000         +1645        1000         +645         DRIFT
1068.66      2000         +1655        1000         +655         DRIFT
1070.66      2000         +1665        1000         +665         DRIFT
1072.66      2000         +1675        1000         +675         DRIFT
1074.66      2000         +1675        1000         +675         DRIFT
1076.66      2000         +1685        1000         +685         DRIFT
1078.66      2000         +1645        1000         +645         DRIFT
1080.66      2000         +1655        1000         +655         DRIFT
1082.67      2000         +1665        1000         +665         DRIFT
1084.67      2000         +1685        1000         +685         DRIFT
1086.67      2000         +1635        1000         +635         DRIFT
1088.67      2000         +1645        1000         +645         DRIFT
1090.67      2000         +1655        1000         +655         DRIFT
1092.67      2000         +1665        1000         +665         DRIFT
1094.67      2000         +1675        1000         +675         DRIFT
1096.67      2000         +1675        1000         +675         DRIFT
1098.67      2000         +1685        1000         +685         DRIFT
1100.67      2000         +1695        1000         +695         DRIFT
1102.67      2000         +1705        1000         +705         DRIFT
1104.68      2000         +1655        1000         +655         DRIFT
1106.68      2000         +1665        1000         +665         DRIFT
1108.68      2000         +1675        1000         +675         DRIFT
1110.68      2000         +1685        1000         +685         DRIFT
1112.68      2000         +1695        1000         +695         DRIFT
1114.68      2000         +1645        1000         +645         DRIFT
1116.68      2000         +1655        1000         +655         DRIFT
1118.68      2000         +1665        1000         +665         DRIFT
1120.68      2000         +1675        1000         +675         DRIFT
1122.68      2000         +1685        1000         +685         DRIFT
1124.68      2000         +1685        1000         +685         DRIFT
1126.68      2000         +1645        1000         +645         DRIFT
1128.68      2000         +1655        1000         +655         DRIFT
1130.68      2000         +1665        1000         +665         DRIFT
1132.68      2000         +1675        1000         +675         DRIFT
1134.68      2000         +1675        1000         +675         DRIFT
1136.68      2000         +1685        1000         +685         DRIFT
1138.68      2000         +1645        1000         +645         DRIFT
1140.68      2000         +1655        1000         +655         DRIFT
1142.69      2000         +1665        1000         +665         DRIFT
1144.69      2000         +1685        1000         +685         DRIFT
1146.69      2000         +1635        1000         +635         DRIFT
1148.69      2000         +1645        1000         +645         DRIFT
1150.69      2000         +1655        1000         +655         DRIFT
1152.69      2000         +1665        1000         +665         DRIFT
1154.69      2000         +1675        1000         +675         DRIFT
1156.69      2000         +1675        1000         +675         DRIFT
