Parsing SERVER log...
  Found 3350 SERVER activations
Parsing CLIENT log...
  Found 3340 CLIENT activations

================================================================================
BILATERAL TIMING ANALYSIS
================================================================================

Time (s)     Period (ms)  Delta (ms)   Target (ms)  Error (ms)   Status
425.16       2000         -1035        1000         -2035        OVERLAP
425.16       2000         975          1000         -25          WARNING
427.16       2000         -1025        1000         -2025        OVERLAP
427.16       2000         985          1000         -15          WARNING
429.16       2000         -1015        1000         -2015        OVERLAP
429.16       2000         985          1000         -15          WARNING
431.16       2000         -1015        1000         -2015        OVERLAP
431.16       2000         995          1000         -5           GOOD
433.16       2000         -1005        1000         -2005        OVERLAP
433.16       2000         955          1000         -45          WARNING
435.16       2000         -1045        1000         -2045        OVERLAP
435.16       2000         965          1000         -35          WARNING
437.16       2000         -1035        1000         -2035        OVERLAP
437.16       2000         975          1000         -25          WARNING
439.16       2000         -1025        1000         -2025        OVERLAP
439.16       2000         975          1000         -25          WARNING
441.16       2000         -1025        1000         -2025        OVERLAP
441.16       2000         935          1000         -65          OVERLAP
443.16       2000         -1065        1000         -2065        OVERLAP
443.16       2000         945          1000         -55          OVERLAP
445.16       2000         -1055        1000         -2055        OVERLAP
445.16       2000         955          1000         -45          WARNING
447.16       2000         -1045        1000         -2045        OVERLAP
447.16       2000         965          1000         -35          WARNING
449.16       2000         -1035        1000         -2035        OVERLAP
449.16       2000         965          1000         -35          WARNING
451.16       2000         -1035        1000         -2035        OVERLAP
451.16       2000         925          1000         -75          OVERLAP
451.18       2000         905          1000         -95          OVERLAP
453.17       2000         -1085        1000         -2085        OVERLAP
453.17       2000         935          1000         -65          OVERLAP
453.19       2000         925          1000         -75          OVERLAP
455.18       2000         -1065        1000         -2065        OVERLAP
455.18       2000         955          1000         -45          WARNING
455.19       2000         955          1000         -45          WARNING
457.19       2000         -1045        1000         -2045        OVERLAP
457.19       2000         975          1000         -25          WARNING
457.20       2000         975          1000         -25          WARNING
459.19       2000         -1015        1000         -2015        OVERLAP
459.19       2000         1005         1000         +5           GOOD
459.21       2000         995          1000         -5           GOOD
461.20       2000         -995         1000         -1995        OVERLAP
461.20       2000         1035         1000         +35          WARNING
463.21       2000         -975         1000         -1975        OVERLAP
463.21       2000         995          1000         -5           GOOD
465.21       2000         -1005        1000         -2005        OVERLAP
465.21       2000         995          1000         -5           GOOD
467.21       2000         -1005        1000         -2005        OVERLAP
467.21       2000         1005         1000         +5           GOOD
469.21       2000         -995         1000         -1995        OVERLAP
469.21       2000         1015         1000         +15          WARNING
471.21       2000         -985         1000         -1985        OVERLAP
471.21       2000         975          1000         -25          WARNING
473.21       2000         -1025        1000         -2025        OVERLAP
473.21       2000         985          1000         -15          WARNING
475.21       2000         -1015        1000         -2015        OVERLAP
475.21       2000         985          1000         -15          WARNING
477.21       2000         -1015        1000         -2015        OVERLAP
477.21       2000         995          1000         -5           GOOD
479.21       2000         -1005        1000         -2005        OVERLAP
479.21       2000         1005         1000         +5           GOOD
481.21       2000         -995         1000         -1995        OVERLAP
481.21       2000         965          1000         -35          WARNING
483.22       2000         -1045        1000         -2045        OVERLAP
483.22       2000         975          1000         -25          WARNING
485.22       2000         -1025        1000         -2025        OVERLAP
485.22       2000         985          1000         -15          WARNING
487.22       2000         -1015        1000         -2015        OVERLAP
487.22       2000         945          1000         -55          OVERLAP
489.22       2000         -1055        1000         -2055        OVERLAP
489.22       2000         945          1000         -55          OVERLAP
491.22       2000         -1055        1000         -2055        OVERLAP
491.22       2000         955          1000         -45          WARNING
493.22       2000         -1045        1000         -2045        OVERLAP
493.22       2000         965          1000         -35          WARNING
495.22       2000         -1035        1000         -2035        OVERLAP
495.22       2000         975          1000         -25          WARNING
497.22       2000         -1025        1000         -2025        OVERLAP
497.22       2000         935          1000         -65          OVERLAP
499.22       2000         -1065        1000         -2065        OVERLAP
499.22       2000         935          1000         -65          OVERLAP
501.22       2000         -1065        1000         -2065        OVERLAP
501.22       2000         945          1000         -55          OVERLAP
503.22       2000         -1055        1000         -2055        OVERLAP
503.22       2000         955          1000         -45          WARNING
505.22       2000         -1045        1000         -2045        OVERLAP
505.22       2000         965          1000         -35          WARNING
507.22       2000         -1035        1000         -2035        OVERLAP
507.22       2000         925          1000         -75          OVERLAP
509.22       2000         -1075        1000         -2075        OVERLAP
509.22       2000         925          1000         -75          OVERLAP
511.23       2000         -1085        1000         -2085        OVERLAP
511.23       2000         925          1000         -75          OVERLAP
511.25       2000         905          1000         -95          OVERLAP
513.24       2000         -1085        1000         -2085        OVERLAP
513.24       2000         935          1000         -65          OVERLAP
513.25       2000         935          1000         -65          OVERLAP
515.25       2000         -1065        1000         -2065        OVERLAP
515.25       2000         955          1000         -45          WARNING
515.26       2000         955          1000         -45          WARNING
517.25       2000         -1035        1000         -2035        OVERLAP
517.25       2000         985          1000         -15          WARNING
517.27       2000         975          1000         -25          WARNING
519.26       2000         -1015        1000         -2015        OVERLAP
519.26       2000         1005         1000         +5           GOOD
521.27       2000         -995         1000         -1995        OVERLAP
521.27       2000         1035         1000         +35          WARNING
523.27       2000         -965         1000         -1965        OVERLAP
523.27       2000         1055         1000         +55          DRIFT
525.27       2000         -945         1000         -1945        OVERLAP
525.27       2000         1055         1000         +55          DRIFT
527.27       2000         -945         1000         -1945        OVERLAP
527.27       2000         1065         1000         +65          DRIFT
529.27       2000         -935         1000         -1935        OVERLAP
529.27       2000         1025         1000         +25          WARNING
531.27       2000         -975         1000         -1975        OVERLAP
531.27       2000         1035         1000         +35          WARNING
