ply,move_from,move_to,dist_prev,cos_prev,dA1,E_A1,E_A2,E_B1,E_B2,E_E,E_F1,E_F2,E_F3,E_FA,E_FD,E_total,eval,clk,nag
98,34,26,12.66,0.6171,0,24.15,18.19,21.17,21.17,84.69,5.14,10.78,19.64,2.21,0,207,0.00,0:29,
99,28,20,5.30,0.9381,1.53,17.87,13.47,23.92,23.92,84.69,31.15,18.02,19.39,2.21,0,235,0.00,0:05,
100,26,44,15.88,0.3967,0,17.87,24.47,21.17,21.17,84.69,5.54,3.28,0.948,2.21,0,181,-0.01,0:28,
101,20,11,5.93,0.9075,1.25,21.81,20.54,21.17,21.17,84.69,2.17,13.21,9.28,2.21,0,196,-0.02,0:05,
102,44,47,12.79,0.5979,4.40,24.01,18.34,21.17,21.17,84.69,2.49,22.87,13.47,2.21,0,210,0.00,0:23,
103,11,10,6.99,0.8768,1.25,25.57,16.77,21.17,21.17,84.69,0.222,1.77,1.10,2.21,0,175,-0.03,0:03,
104,47,46,12.71,0.5419,4.40,17.87,24.47,21.17,21.17,84.69,2.65,3.06,0.934,2.21,0,178,-0.02,0:22,
105,10,2,4.67,0.9382,1.25,22.75,18.35,21.49,21.49,84.69,0.905,1.37,1.24,2.21,0,174,0.00,0:02,
106,46,6,13.19,0.5257,4.40,22.75,18.35,21.49,21.49,84.69,1.12,14.65,5.41,2.21,0,192,0.00,0:21,
107,2,9,5.33,0.9236,1.53,24.15,18.19,21.17,21.17,84.69,0.162,1.39,0.976,2.21,0,174,0.00,0:01,
108,6,34,14.24,0.4762,4.40,24.15,18.19,21.17,21.17,84.69,8.31,11.74,19.74,2.21,0,211,0.00,0:20,
109,9,1,3.54,0.9704,1.53,23.37,18.97,21.17,21.17,84.69,8.31,11.74,19.74,2.21,0,211,0.00,0:01,
110,34,18,12.69,0.6199,5.39,33.05,9.29,21.17,21.17,84.69,8.15,11.80,20.55,2.21,0,212,0.00,0:19,
111,59,41,12.53,0.6293,4.40,30.85,11.49,21.17,21.17,84.69,8.63,11.89,19.11,2.21,0,211,0.00,0:01,
112,25,24,9.55,0.7726,1.25,30.23,12.12,21.17,21.17,84.69,10.73,4.70,0.989,2.21,0,188,0.00,0:19,
113,41,40,21.11,0.3012,4.66,30.10,11.99,21.05,21.05,84.19,1.72,2.75,1.33,1.56,253,429,0.00,0:01,
114,18,17,12.84,0.8096,5.39,20.42,21.67,21.05,21.05,84.19,2.72,3.82,6.94,1.56,253,437,0.00,0:18,
115,1,2,4.67,0.9756,1.25,25.92,27.17,18.30,18.30,84.19,7.65,9.38,5.92,1.56,253,451,0.00,0:00,
116,17,18,14.43,0.7712,5.39,35.60,17.49,18.30,18.30,84.19,22.58,5.92,1.77,1.56,253,459,0.00,0:18,
