fen4,source,encoding_sha256,l2_norm
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,4,2,7; r@2,6,4,6; b@4,7,7,7; k@5,6,7,5; q@6,5,5,6; n@7,1,6,5; B@7,4,2,4",self_play,747857c533e810689d94adc054c17e5c4bc69ea25ca397582826a526c336bd63,68.00152587890625
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,5,0,3; R@2,4,2,7; r@2,6,4,6; b@4,7,7,7; k@5,6,7,5; q@6,5,5,7; n@7,1,6,5; B@7,4,2,4",self_play,0e9f4f0b6fcd3ab3d70a250c4a785e99c6b5e2c80977b1bf8753e043fbfa28b8,69.04100036621094
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,1,2,0; R@2,2,2,2; B@3,0,0,0; b@4,7,7,7; r@5,5,5,5; q@6,6,6,6; n@7,4,7,7; k@7,7,7,7",self_play,35efe5417f30ae92d9522ad55bd1db090178575ad3774b14a2ef0b6a046ef0b2,20.969999313354492
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,1,2,0; R@2,2,2,2; B@3,0,0,0; b@4,7,7,7; r@5,5,5,5; q@6,2,2,6; n@7,4,7,7; k@7,7,7,7",self_play,9007e72f4069b717bfd99a8158e469d1f2d2c7027c85bd3e5e938778f3da1260,41.75139236450195
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,1,3,0; R@2,2,2,2; B@3,0,0,0; b@4,7,7,7; r@5,5,5,5; q@6,2,2,6; n@7,4,7,7; k@7,7,7,7",self_play,5bc313d3d6471b2923bba2487465a7b6047783ce2ca21454bd652613d4a062b8,44.33879470825195
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,1,3,0; R@2,2,2,2; B@3,0,0,0; b@4,7,7,7; r@5,5,5,5; q@6,2,2,6; n@6,6,7,7; k@7,7,7,7",self_play,41c8c072079bfc7873e962fc0df627bcc094a67205cdca6a2fcbbcee8ec6dce4,43.72132110595703
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,1,3,0; R@2,2,2,2; B@3,0,5,5; b@4,7,7,7; r@5,5,5,5; q@6,2,2,6; n@6,6,7,7; k@7,7,7,7",self_play,42abdc056610e692b186ad609fa36cafebb4481d10f0dd973723c46c595c4fae,44.8754768371582
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,1,3,0; R@2,2,2,2; B@3,0,5,5; b@4,7,7,7; r@5,5,5,5; n@6,6,7,7; q@7,2,1,6; k@7,7,7,7",self_play,e9c297a0579e97904a3231c3cfd6ef730885901299adc698582a8f4e7e7ec158,53.01045608520508
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,1,6,3; R@2,2,2,2; B@3,0,5,5; b@4,7,7,7; r@5,5,5,5; n@6,6,7,7; q@7,2,1,6; k@7,7,7,7",self_play,5d2d25ad89eb682d81695f7cefa99ac2a958f2dad82c45d7affa3d61204a85a1,61.50571060180664
"4d-fen v1: K@0,0,0,0; N@0,3,0,0; Q@1,1,6,3; R@2,2,2,2; B@3,0,5,5; b@4,7,7,7; r@5,5,5,5; n@6,6,6,5; q@7,2,1,6; k@7,7,7,7",self_play,b3a78843095fb30fbeb2c0f9b7fb6afc2e516314c3f0b16b0c0a239084d8a704,61.48457336425781
"4d-fen v1: N@0,3,0,0; K@1,0,1,0; Q@1,1,6,3; R@2,2,2,2; B@3,0,5,5; b@4,7,7,7; r@5,5,5,5; n@6,6,6,5; q@7,2,1,6; k@7,7,7,7",self_play,2476bffafde554777742451e33c3544ed9c243aeeebc63b70a783dc9fce4b3b0,62.7284049987793
"4d-fen v1: N@0,3,0,0; K@1,0,1,0; Q@1,1,6,3; R@2,2,2,2; B@3,0,5,5; b@4,7,7,7; r@5,5,5,5; n@6,6,6,5; q@7,2,1,6; k@7,6,6,6",self_play,e5a9963781843d6c8c52bcf53ee034b03936ab3ccb55be2cd8fc97bca13db8da,63.53972244262695
"4d-fen v1: N@0,3,0,0; K@1,0,1,0; Q@1,1,6,3; R@2,2,2,6; B@3,0,5,5; b@4,7,7,7; r@5,5,5,5; n@6,6,6,5; q@7,2,1,6; k@7,6,6,6",self_play,1d0b202c3e76a49f06b995201edcf131b151fbdae8072ffa0983ba25b710aa14,65.87297821044922
"4d-fen v1: N@0,3,0,0; K@1,0,1,0; Q@1,1,6,3; R@2,2,2,6; r@2,5,5,5; B@3,0,5,5; b@4,7,7,7; n@6,6,6,5; q@7,2,1,6; k@7,6,6,6",self_play,287b1b9ca2130316641462ab280fc7486e21ffbbc95aba3e3de03c04b75d6db7,67.14163208007812
"4d-fen v1: N@0,3,0,0; K@1,0,2,1; Q@1,1,6,3; R@2,2,2,6; r@2,5,5,5; B@3,0,5,5; b@4,7,7,7; n@6,6,6,5; q@7,2,1,6; k@7,6,6,6",self_play,fcde440e9447e8cf9257b236168fe8cd6dc0ac4749ac0135eadc489d10e9e55c,68.19181823730469
"4d-fen v1: N@0,3,0,0; K@1,0,2,1; Q@1,1,6,3; R@2,2,2,6; r@2,5,5,5; B@3,0,5,5; b@4,7,7,7; n@6,6,6,5; k@6,6,7,7; q@7,2,1,6",self_play,46b5ef68d0b157a6e94c7d7e94b6d4f429ff870d0f69562e8e935c680bbf2865,68.50130462646484
"4d-fen v1: K@0,1,2,2; N@0,3,0,0; Q@1,1,6,3; R@2,2,2,6; r@2,5,5,5; B@3,0,5,5; b@4,7,7,7; n@6,6,6,5; k@6,6,7,7; q@7,2,1,6",self_play,e986811bee3fd7dd5bb1ab639a3eef9cebded77aff94107fcdd49fa17a229c9b,69.29325103759766
"4d-fen v1: K@0,1,2,2; N@0,3,0,0; Q@1,1,6,3; R@2,2,2,6; r@2,5,5,5; B@3,0,5,5; b@4,7,0,0; n@6,6,6,5; k@6,6,7,7; q@7,2,1,6",self_play,da09cbb1c3c4384c0bc08c71ba5d175402b2637e3216ae0d2c04e4fef1ec5a24,71.41841888427734
"4d-fen v1: K@0,1,2,2; N@0,3,0,0; Q@1,1,6,3; R@2,2,2,6; r@2,5,5,5; B@3,0,2,2; b@4,7,0,0; n@6,6,6,5; k@6,6,7,7; q@7,2,1,6",self_play,64c657b96bdf8516e46459cfcebf136dfb406e572df84cfcb8b2b6991877548c,70.52545928955078
"4d-fen v1: K@0,1,2,2; N@0,3,0,0; Q@1,1,6,3; R@2,2,2,6; r@2,5,5,5; B@3,0,2,2; b@4,7,0,0; n@6,4,6,4; k@6,6,7,7; q@7,2,1,6",self_play,953a862369af78d9c03d26bfa1afa91cb26292014a0c8b0290b75624793d742b,70.67386627197266
"4d-fen v1: N@0,3,0,0; K@1,0,3,3; Q@1,1,6,3; R@2,2,2,6; r@2,5,5,5; B@3,0,2,2; b@4,7,0,0; n@6,4,6,4; k@6,6,7,7; q@7,2,1,6",self_play,da4a2332b1dfa0bd444e291923c733efb3f2d947518b618996aaf4e92c5b344c,74.63776397705078
"4d-fen v1: N@0,3,0,0; K@1,0,3,3; Q@1,1,6,3; R@2,2,2,6; r@2,2,5,5; B@3,0,2,2; b@4,7,0,0; n@6,4,6,4; k@6,6,7,7; q@7,2,1,6",self_play,b7e27a34d76fa43ca3ace0a69f55363d6f73ca7a62bd11ef2ab8561ec36d1b8e,75.01363372802734
"4d-fen v1: N@0,3,0,0; K@1,1,3,3; Q@1,1,6,3; R@2,2,2,6; r@2,2,5,5; B@3,0,2,2; b@4,7,0,0; n@6,4,6,4; k@6,6,7,7; q@7,2,1,6",self_play,148e7a186236b02ba5ee66ef9f0fcbdc9d52806cccd4d1e6e0bfa3e3b80ffe50,72.95722198486328
"4d-fen v1: N@0,3,0,0; K@1,1,3,3; Q@1,1,6,3; R@2,2,2,6; r@2,2,5,5; B@3,0,2,2; b@4,7,0,0; k@5,7,7,7; n@6,4,6,4; q@7,2,1,6",self_play,1bf41294e943c0b43bb201d5b03d04d8f50076d9fe1c50a6d5a5809cfba76bf5,74.90998840332031
"4d-fen v1: N@0,3,0,0; K@1,1,3,3; Q@1,1,6,3; R@2,2,2,6; r@2,2,5,5; B@3,3,2,5; b@4,7,0,0; k@5,7,7,7; n@6,4,6,4; q@7,2,1,6",self_play,5f9bcc33ffebec47bab68320c5ad238b10bcc98ace78a5a6e13507ecd485bee0,74.91034698486328
